universalmessageid,socialnetwork,senderuserid,senderscreenname,senderlistedname,senderprofileimgurl,senderprofilelink,senderfollowerscount,senderinfluencerscore,senderage,sendergender,originalauthor,originalauthorprofilelink,title,message,messagetype,createdtime,language,languagecode,countrycode,mediatypelist,permalink,domain,retweets,tweetgenerator,favorites,receiverid,receiverscreenname,assignedby,assignedto,spam,status,intellocation,priority,starrating,sentiment,reviewsource,experiencescoremessagelevel,clientqueues,partnerqueues,clientcustomprops,partnercustomprops,customtags,actiontime,geotarget,postid,associatedcases,location,country,state,city,latitude,longitude,senderemail,v55,campaignname,year,TwitterHandle,TwitterHandleCustomerService,Cik,Gvkey
TWITTER_2_1057701337587245061,TWITTER,2388177044,ddj12121985,Derek J,https://pbs.twimg.com/profile_images/1461422801965838336/AwvXStWw_normal.jpg,,10521,0,0,M,,,,"I j_u_st ____ entered QVC & HSN's Black Friday Sweepstakes for a chance to win $50,000 or valuable daily instant prizes from some of your favorite brands! Enter now through 12/3 for a chance to win! #BlackFriday NPN US/DC (ex.AK/HI/RI) 18+ Enter here+  full rules shr2me.com/share.aspx?proâ¦",Twitter Update,30:24.7,,,US,LINK,https://twitter.com/ddj12121985/status/1057701337587245061,twitter.com,0,Twitter Web Client,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,30:24.7,,,,"Atlanta, Georgia, United States",United States,,,33.749001,-84.387978,,Twitter Update,,2018,HSN,HSN,1434729,180402
TWITTER_2_1057701679037116416,TWITTER,1979190776,TickerReport,Ticker Report,https://pbs.twimg.com/profile_images/378800000629011324/02a58ce4852fa2c0b053a8853393c35c_normal.png,,3959,0,0,,,,,AutoNation $AN PT Lowered to $38.00 at Buckingham Research tickerreport.com/?p=3897262,Twitter Update,31:46.1,,,US,LINK,https://twitter.com/TickerReport/status/1057701679037116416,twitter.com,0,Zapier.com,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,31:46.1,,,,"Virginia, United States",United States,,,37.548119,-77.446747,,Twitter Update,,2018,AutoNation,AutoNation,350698,9063
TWITTER_2_1057702516417130496,TWITTER,23998573,gravityx9,Gravityx9,https://pbs.twimg.com/profile_images/711963798022656000/8l2OBNjr_normal.jpg,,3463,0,0,,,,,Le Chat Noir Thanksgiving Pilgrim available at Cafepress! dlvr.it/Qq6lYB https://t.co/hZYBGWkzLj,Twitter Update,35:05.7,,,US,PHOTO,https://twitter.com/gravityx9/status/1057702516417130496,twitter.com,0,dlvr.it,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,35:05.7,,,,"Las Vegas, Nevada, United States",United States,,,36.174969,-115.13722,,Twitter Update,,2018,cafepress,cafepress,1117733,188855
TWITTER_2_1057703001392070657,TWITTER,132955726,BerkeryMandA,Berkery Noyes,https://pbs.twimg.com/profile_images/1029422058982203392/kY7UYsyV_normal.jpg,,481,0,0,M,,,,"Sysco AS,  acquired Basecare #acquisition  #mna mna.im/?a=QM4",Twitter Update,37:01.4,,,US,LINK,https://twitter.com/BerkeryMandA/status/1057703001392070657,twitter.com,2,MandAsoft.com,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,37:01.4,,,,"New York, United States",United States,,,43.000351,-75.499901,,Twitter Update,,2018,Sysco,SYSCOSOFTWARE,96021,10247
TWITTER_2_1057703647302377473,TWITTER,176207460,canup_10,Brooks Canup,https://pbs.twimg.com/profile_images/1212556748940304384/F8nCVSPl_normal.jpg,,737,0,0,,,,,Happy Halloween from the PETTY-est person I know ð¸âï¸ @ Belk Activity Center instagram.com/p/Bpm5oGkgBFxEâ¦,Twitter Update,39:35.4,,,US,LINK,https://twitter.com/canup_10/status/1057703647302377473,twitter.com,0,Instagram,0,,,,,FALSE,,,,,POSITIVE,,,,,,,,39:35.4,,,,Tuscaloosa,United States,,Tuscaloosa,33.098412,-87.626732,,Twitter Update,,2018,belk,,1051771,117981
TWITTER_2_1057706018455633920,TWITTER,213427945,CouponTerri,CouponTerri,https://pbs.twimg.com/profile_images/2003980746/Terri_normal.jpg,,706,0,25,,,,,"Top 10 Winn Dixie Sales with Coupon Matchups For 10/31-11/6. #InnovAsian Meal 9 oz only 75Â¢ each, Cover Girl Cosmetics only $1.50 each, Panera Soup 16 oz only $1.50 and lots more deals HEREâ ..... couponterri.com/top-10-winn-diâ¦
#WinnDixie",Twitter Update,49:00.7,,,US,LINK,https://twitter.com/CouponTerri/status/1057706018455633920,twitter.com,0,Sprout Social,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,49:00.7,,,,"Lakeland, Florida, United States",United States,,,28.039471,-81.949799,,Twitter Update,,2018,WinnDixie,,107681,11535
TWITTER_2_1057706335985455116,TWITTER,8.93E+17,KFMSjaguars757,Catherine Pichon,https://pbs.twimg.com/profile_images/1278088162200477698/nMsLVP1J_normal.jpg,,302,0,0,,,,,Tech students ranking items needed for surviving a kayak trip that meets stormy weather. #engagedlearners pic.twitter.com/YkyKJ22jmj,Twitter Update,50:16.4,,,US,PHOTO,https://twitter.com/KFMSjaguars757/status/1057706335985455116,twitter.com,0,Twitter for Android,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,50:16.4,,,,"Suffolk, Virginia, United States",United States,,,36.72821,-76.583557,,Twitter Update,,2018,KAYAK,http://kayak.com/support,1312928,186473
TWITTER_2_1057706352544542721,TWITTER,61661638,AmericanBanking,US Banking News,https://pbs.twimg.com/profile_images/541252987/Image5_normal.jpg,,8496,0,0,M,,,,AutoNation $AN Price Target Cut to $38.00 americanbankingnews.com/?p=8437253 #stocks,Twitter Update,50:20.3,,,US,LINK,https://twitter.com/AmericanBanking/status/1057706352544542721,twitter.com,0,Zapier.com,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,50:20.3,,,,"Sioux Falls, South Dakota, United States",United States,,,43.549969,-96.700333,,Twitter Update,,2018,AutoNation,AutoNation,350698,9063
TWITTER_2_1057707727143632896,TWITTER,2871257595,FlyFishingSimpl,Stephen Plut,https://pbs.twimg.com/profile_images/532991615460065280/6XsozZdr_normal.jpeg,,12095,0,0,,,,,Beautiful day yesterday. #flyfishing was lousy but fantastic day to be out in the #kayak instagram.com/p/Bpm7jvPDh8t/â¦,Twitter Update,55:48.1,,,US,LINK,https://twitter.com/FlyFishingSimpl/status/1057707727143632896,twitter.com,0,Instagram,0,,,,,FALSE,,,,,POSITIVE,,,,,,,,55:48.1,,,,"Pennsylvania, United States",United States,,,40.272449,-76.90567,,Twitter Update,,2018,KAYAK,http://kayak.com/support,1312928,186473
TWITTER_2_1057708017976696832,TWITTER,7.20E+17,TaylorMillerHSD,TaylorMillerHSD,https://pbs.twimg.com/profile_images/719951312368979968/A4hGpBjt_normal.jpg,,34,0,0,,,,,"Save the Date! Our 1st #TaylormillerHSD #WarehouseSale is Saturday & Sunday 11/17 & 18! GREAT DEALS on #Furniture #Art #Rugs & #Accessories from #WestElm #WilliamsSonoma #RestorationHardware #MitchellGold #PotteryBarn & MORE! 1511 W. 2nd Street Pomona, CA 91766  #furnituresale pic.twitter.com/Ta31pvC6K0",Twitter Update,56:57.4,,,US,PHOTO,https://twitter.com/TaylorMillerHSD/status/1057708017976696832,twitter.com,1,Echofon,0,,,,,FALSE,,,,,POSITIVE,,,,,,,,56:57.4,,,,"Los Angeles, California, United States",United States,,,34.052231,-118.24368,,Twitter Update,,2018,WilliamsSonoma,,719955,11511
